item_id,genres,title,texto
2600,action,Vampire: The Masquerade - Bloodlines,action Vampire: The Masquerade - Bloodlines
2620,action,Call Of Duty®,action Call of Duty®
2700,"simulation, strategy",Rollercoaster Tycoon® 3: Platinum,"simulation, strategy RollerCoaster Tycoon® 3: Platinum"
2820,"action, simulation, strategy",X3: Terran Conflict,"action, simulation, strategy X3: Terran Conflict"
2870,"action, simulation",X Rebirth,"action, simulation X Rebirth"
2990,racing,Flatout 2™,racing FlatOut 2™
3050,racing,Xpand Rally Xtreme,racing Xpand Rally Xtreme
3320,casual,Insaniquarium Deluxe,casual Insaniquarium Deluxe
3390,casual,Feeding Frenzy 2 Deluxe,casual Feeding Frenzy 2 Deluxe
3480,casual,Peggle Deluxe,casual Peggle Deluxe
3483,casual,Peggle Extreme,casual Peggle Extreme
3590,strategy,Plants Vs. Zombies Goty Edition,strategy Plants vs. Zombies GOTY Edition
3620,"action, casual",Zuma'S Revenge!,"action, casual Zuma's Revenge!"
3700,action,Sniper Elite,action Sniper Elite
3710,action,Judge Dredd: Dredd Vs. Death,action Judge Dredd: Dredd vs. Death
3730,action,Aliens Versus Predator Classic 2000,action Aliens versus Predator Classic 2000
3830,action,Psychonauts,action Psychonauts
3900,strategy,Sid Meier'S Civilization® Iv,strategy Sid Meier's Civilization® IV
3910,strategy,Sid Meier'S Civilization® Iii Complete,strategy Sid Meier's Civilization® III Complete
3920,rpg,Sid Meier'S Pirates!,rpg Sid Meier's Pirates!
4000,"indie, simulation",Garry'S Mod,"indie, simulation Garry's Mod"
4500,"action, rpg",S.T.A.L.K.E.R.: Shadow Of Chernobyl,"action, rpg S.T.A.L.K.E.R.: Shadow of Chernobyl"
4560,"action, strategy",Company Of Heroes - Legacy Edition,"action, strategy Company of Heroes - Legacy Edition"
4570,strategy,"Warhammer® 40,000: Dawn Of War® - Game Of The Year Edition","strategy Warhammer® 40,000: Dawn of War® - Game of the Year Edition"
4580,strategy,"Warhammer® 40,000: Dawn Of War® - Dark Crusade","strategy Warhammer® 40,000: Dawn of War® - Dark Crusade"
4700,strategy,Medieval Ii: Total War™,strategy Medieval II: Total War™
4760,strategy,Rome: Total War™ - Collection,strategy Rome: Total War™ - Collection
4780,strategy,Medieval Ii: Total War™ Kingdoms,strategy Medieval II: Total War™ Kingdoms
4850,strategy,Cossacks: Back To War,strategy Cossacks: Back to War
4920,"action, indie, strategy",Natural Selection 2,"action, indie, strategy Natural Selection 2"
6000,action,Star Wars™ Republic Commando™,action STAR WARS™ Republic Commando™
6020,action,Star Wars™ Jedi Knight - Jedi Academy™,action STAR WARS™ Jedi Knight - Jedi Academy™
6030,action,Star Wars™ Jedi Knight Ii - Jedi Outcast™,action STAR WARS™ Jedi Knight II - Jedi Outcast™
6060,action,"Star Wars: Battlefront 2 (Classic, 2005)","action Star Wars: Battlefront 2 (Classic, 2005)"
6120,"action, indie",Shank,"action, indie Shank"
6220,racing,Flatout,racing FlatOut
6310,"action, adventure, rpg",The Longest Journey,"action, adventure, rpg The Longest Journey"
6370,"action, free to play, massively multiplayer",Bloodline Champions,"action, free to play, massively multiplayer Bloodline Champions"
6420,"indie, simulation, strategy",Nexus - The Jupiter Incident,"indie, simulation, strategy Nexus - The Jupiter Incident"
6550,action,Devil May Cry® 3 Special Edition,action Devil May Cry® 3 Special Edition
6800,action,Commandos: Behind Enemy Lines,action Commandos: Behind Enemy Lines
6830,action,Commandos 2: Men Of Courage,action Commandos 2: Men of Courage
6850,action,Hitman 2: Silent Assassin,action Hitman 2: Silent Assassin
6860,action,Hitman: Blood Money,action Hitman: Blood Money
6880,action,Just Cause,action Just Cause
6910,action,Deus Ex: Game Of The Year Edition,action Deus Ex: Game of the Year Edition
6980,action,Thief: Deadly Shadows,action Thief: Deadly Shadows
7000,"action, adventure",Tomb Raider: Legend,"action, adventure Tomb Raider: Legend"
7020,action,Rogue Trooper,action Rogue Trooper
7200,racing,Trackmania United Forever Star Edition,racing Trackmania United Forever Star Edition
7510,"action, adventure, rpg",X-Blades,"action, adventure, rpg X-Blades"
7520,rpg,Two Worlds Ii Hd,rpg Two Worlds II HD
7600,strategy,Sid Meier'S Railroads!,strategy Sid Meier's Railroads!
7660,strategy,X-Com: Apocalypse,strategy X-COM: Apocalypse
7670,"action, rpg",Bioshock™,"action, rpg BioShock™"
7730,strategy,X-Com: Interceptor,strategy X-COM: Interceptor
7830,strategy,Men Of War™,strategy Men of War™
7860,action,Necrovision,action NecroVision
7940,action,Call Of Duty® 4: Modern Warfare®,action Call of Duty® 4: Modern Warfare®
8000,"action, adventure",Tomb Raider: Anniversary,"action, adventure Tomb Raider: Anniversary"
8080,action,Kane And Lynch: Dead Men™,action Kane and Lynch: Dead Men™
8170,"action, strategy",Battlestations Pacific,"action, strategy Battlestations Pacific"
8190,"action, adventure",Just Cause 2,"action, adventure Just Cause 2"
8230,"action, adventure",Sam &Amp; Max 104: Abe Lincoln Must Die!,"action, adventure Sam &amp; Max 104: Abe Lincoln Must Die!"
8340,adventure,Strong Bad'S Cool Game For Attractive People: Season 1,adventure Strong Bad's Cool Game for Attractive People: Season 1
8400,casual,Geometry Wars: Retro Evolved,casual Geometry Wars: Retro Evolved
8500,"action, free to play, massively multiplayer, rpg, strategy",Eve Online,"action, free to play, massively multiplayer, rpg, strategy EVE Online"
8600,racing,Race 07,racing RACE 07
8800,strategy,Civilization Iv: Beyond The Sword,strategy Civilization IV: Beyond the Sword
8850,action,Bioshock® 2,action BioShock® 2
8870,action,Bioshock Infinite,action BioShock Infinite
8930,strategy,Sid Meier'S Civilization® V,strategy Sid Meier's Civilization® V
8980,"action, rpg",Borderlands,"action, rpg Borderlands"
9050,action,Doom 3,action DOOM 3
9160,action,Master Levels For Doom Ii,action Master Levels for Doom II
9180,action,Commander Keen,action Commander Keen
9200,action,Rage,action RAGE
9350,strategy,Supreme Commander,strategy Supreme Commander
9420,strategy,Supreme Commander: Forged Alliance,strategy Supreme Commander: Forged Alliance
9450,strategy,"Warhammer® 40,000: Dawn Of War® - Soulstorm","strategy Warhammer® 40,000: Dawn of War® - Soulstorm"
9480,action,Saints Row 2,action Saints Row 2
9500,indie,Gish,indie Gish
9880,"free to play, massively multiplayer, rpg",Champions Online,"free to play, massively multiplayer, rpg Champions Online"
9900,"free to play, massively multiplayer, rpg",Star Trek Online,"free to play, massively multiplayer, rpg Star Trek Online"
9930,racing,Test Drive Unlimited 2,racing Test Drive Unlimited 2
10090,action,Call Of Duty: World At War,action Call of Duty: World at War
10130,action,Timeshift™,action TimeShift™
10150,"action, adventure",Prototype™,"action, adventure Prototype™"
10180,action,Call Of Duty®: Modern Warfare® 2,action Call of Duty®: Modern Warfare® 2
10220,action,Postal Iii,action Postal III
10500,strategy,Empire: Total War™,strategy Empire: Total War™
10680,action,Aliens Vs. Predator™,action Aliens vs. Predator™
11130,adventure,Sherlock Holmes: The Mystery Of The Mummy,adventure Sherlock Holmes: The Mystery of the Mummy
11140,adventure,Sherlock Holmes: The Awakened - Remastered Edition,adventure Sherlock Holmes: The Awakened - Remastered Edition
11280,"action, casual, indie",Penguins Arena: Sedna'S World,"action, casual, indie Penguins Arena: Sedna's World"
11330,"casual, indie",Obulis,"casual, indie Obulis"
11340,"action, indie",Larva Mortus,"action, indie Larva Mortus"
11360,indie,Chains,indie Chains
11450,rpg,Overlord™,rpg Overlord™
11590,simulation,Hospital Tycoon,simulation Hospital Tycoon
11610,"action, free to play, massively multiplayer, rpg",Dragon Nest,"action, free to play, massively multiplayer, rpg Dragon Nest"
12100,action,Grand Theft Auto Iii,action Grand Theft Auto III
12110,action,Grand Theft Auto: Vice City,action Grand Theft Auto: Vice City
12120,action,Grand Theft Auto: San Andreas,action Grand Theft Auto: San Andreas
12130,action,Manhunt,action Manhunt
12140,action,Max Payne,action Max Payne
12160,racing,Midnight Club 2,racing Midnight Club 2
12200,"action, adventure",Bully: Scholarship Edition,"action, adventure Bully: Scholarship Edition"
12220,action,Grand Theft Auto: Episodes From Liberty City,action Grand Theft Auto: Episodes from Liberty City
12330,action,Darkstar One,action Darkstar One
12360,racing,Flatout: Ultimate Carnage,racing FlatOut: Ultimate Carnage
12500,casual,Puzzlequest: Challenge Of The Warlords,casual PuzzleQuest: Challenge of the Warlords
12590,racing,Sprint Cars Road To Knoxville,racing Sprint Cars Road to Knoxville
12810,rpg,Overlord Ii,rpg Overlord II
12830,action,Operation Flashpoint: Dragon Rising,action Operation Flashpoint: Dragon Rising
12900,indie,Audiosurf,indie AudioSurf
13210,action,Unreal Tournament 3 Black,action Unreal Tournament 3 Black
13230,action,Unreal Tournament 2004: Editor'S Choice Edition,action Unreal Tournament 2004: Editor's Choice Edition
13250,action,Unreal Gold,action Unreal Gold
13520,action,Far Cry®,action Far Cry®
13570,action,Tom Clancy'S Splinter Cell Chaos Theory®,action Tom Clancy's Splinter Cell Chaos Theory®
13600,"action, adventure",Prince Of Persia®: The Sands Of Time,"action, adventure Prince of Persia®: The Sands of Time"
15100,"action, adventure",Assassin'S Creed™: Director'S Cut Edition,"action, adventure Assassin's Creed™: Director's Cut Edition"
15120,action,Tom Clancy'S Rainbow Six® Vegas 2,action Tom Clancy's Rainbow Six® Vegas 2
15130,"action, adventure",Beyond Good And Evil™,"action, adventure Beyond Good and Evil™"
15170,strategy,Heroes Of Might &Amp; Magic V,strategy Heroes of Might &amp; Magic V
15200,simulation,Silent Hunter®: Wolves Of The Pacific,simulation Silent Hunter®: Wolves of the Pacific
15320,simulation,Il-2 Sturmovik: 1946,simulation IL-2 Sturmovik: 1946
15390,action,Brothers In Arms: Hell'S Highway™,action Brothers in Arms: Hell's Highway™
15520,"action, indie, sports",Aaaaaa!!! - A Reckless Disregard For Gravity,"action, indie, sports AaAaAA!!! - A Reckless Disregard for Gravity"
15620,strategy,"Warhammer 40,000: Dawn Of War Ii","strategy Warhammer 40,000: Dawn of War II"
15700,adventure,Oddworld: Abe'S Oddysee®,adventure Oddworld: Abe's Oddysee®
15710,adventure,Oddworld: Abe'S Exoddus®,adventure Oddworld: Abe's Exoddus®
15750,"action, adventure, strategy",Oddworld: Stranger'S Wrath Hd,"action, adventure, strategy Oddworld: Stranger's Wrath HD"
16120,"casual, simulation",Plant Tycoon,"casual, simulation Plant Tycoon"
16600,"indie, racing, sports",Trials 2: Second Edition,"indie, racing, sports Trials 2: Second Edition"
16720,action,Velvet Assassin,action Velvet Assassin
16870,strategy,Sid Meier'S Civilization V: Gods And Kings,strategy Sid Meier's Civilization V: Gods and Kings
17080,"action, free to play",Tribes: Ascend,"action, free to play Tribes: Ascend"
17300,action,Crysis,action Crysis
17330,action,Crysis Warhead®,action Crysis Warhead®
17390,simulation,Spore™,simulation SPORE™
17410,"action, adventure",Mirror'S Edge™,"action, adventure Mirror's Edge™"
17440,simulation,Spore™ Creepy &Amp; Cute Parts Pack,simulation SPORE™ Creepy &amp; Cute Parts Pack
17450,rpg,Dragon Age: Origins,rpg Dragon Age: Origins
17460,"action, rpg",Mass Effect,"action, rpg Mass Effect"
17470,action,Dead Space,action Dead Space
17480,strategy,Command &Amp; Conquer: Red Alert 3,strategy Command &amp; Conquer: Red Alert 3
17500,"action, free to play, indie",Zombie Panic! Source,"action, free to play, indie Zombie Panic! Source"
17510,indie,Age Of Chivalry,indie Age of Chivalry
17520,"action, free to play",Synergy,"action, free to play Synergy"
17550,action,Eternal Silence,action Eternal Silence
17570,"action, free to play, indie","Pirates, Vikings, And Knights Ii","action, free to play, indie Pirates, Vikings, and Knights II"
17580,"action, free to play, indie",Dystopia,"action, free to play, indie Dystopia"
17700,action,Insurgency: Modern Infantry Combat,action INSURGENCY: Modern Infantry Combat
17710,"action, strategy",Nuclear Dawn,"action, strategy Nuclear Dawn"
17740,"action, free to play, strategy",Empires Mod,"action, free to play, strategy Empires Mod"
18020,"adventure, rpg","Precipice Of Darkness, Episode Two","adventure, rpg Precipice of Darkness, Episode Two"
18500,"indie, strategy",Defense Grid: The Awakening,"indie, strategy Defense Grid: The Awakening"
18820,"action, indie, racing, sports",Zero Gear,"action, indie, racing, sports Zero Gear"
19830,action,Tom Clancy'S Rainbow Six® 3 Gold,action Tom Clancy's Rainbow Six® 3 Gold
19900,action,Far Cry® 2: Fortune'S Edition,action Far Cry® 2: Fortune's Edition
20500,action,Red Faction Guerrilla Steam Edition,action Red Faction Guerrilla Steam Edition
20510,"action, rpg",S.T.A.L.K.E.R.: Clear Sky,"action, rpg S.T.A.L.K.E.R.: Clear Sky"
20530,action,Red Faction,action Red Faction
20570,strategy,"Warhammer® 40,000: Dawn Of War® Ii Chaos Rising","strategy Warhammer® 40,000: Dawn of War® II Chaos Rising"
20900,"action, rpg",The Witcher: Enhanced Edition Director'S Cut,"action, rpg The Witcher: Enhanced Edition Director's Cut"
20920,rpg,The Witcher 2: Assassins Of Kings Enhanced Edition,rpg The Witcher 2: Assassins of Kings Enhanced Edition
21000,"action, adventure",Lego Batman,"action, adventure LEGO Batman"
21090,action,F.E.A.R.,action F.E.A.R.
21100,action,F.E.A.R. 3,action F.E.A.R. 3
21660,action,Street Fighter® Iv,action Street Fighter® IV
21690,"action, adventure",Resident Evil™ 5/ Biohazard 5®,"action, adventure Resident Evil™ 5/ Biohazard 5®"
21780,racing,Driver® Parallel Lines,racing Driver® Parallel Lines
22000,indie,World Of Goo,indie World of Goo
22100,"indie, rpg",Mount &Amp; Blade,"indie, rpg Mount &amp; Blade"
22120,"action, adventure, indie",Penumbra: Black Plague Gold Edition,"action, adventure, indie Penumbra: Black Plague Gold Edition"
22180,"action, adventure, indie",Penumbra Overture,"action, adventure, indie Penumbra Overture"
22200,"action, indie",Zeno Clash,"action, indie Zeno Clash"
22230,"action, indie, racing, strategy",Rock Of Ages,"action, indie, racing, strategy Rock of Ages"
22300,rpg,Fallout 3,rpg Fallout 3
22320,rpg,The Elder Scrolls Iii: Morrowind® Game Of The Year Edition,rpg The Elder Scrolls III: Morrowind® Game of the Year Edition
22330,rpg,The Elder Scrolls Iv: Oblivion® Game Of The Year Edition,rpg The Elder Scrolls IV: Oblivion® Game of the Year Edition
22350,"action, free to play",Brink,"action, free to play BRINK"
22370,rpg,Fallout 3: Game Of The Year Edition,rpg Fallout 3: Game of the Year Edition
22380,"action, rpg",Fallout: New Vegas,"action, rpg Fallout: New Vegas"
22450,"action, adventure",Hunted: The Demon’S Forge™,"action, adventure Hunted: The Demon’s Forge™"
22600,strategy,Worms Reloaded,strategy Worms Reloaded
23450,"simulation, strategy",Grand Ages: Rome,"simulation, strategy Grand Ages: Rome"
23490,"simulation, strategy",Tropico 3,"simulation, strategy Tropico 3"
23530,action,Earth Defense Force: Insect Armageddon,action Earth Defense Force: Insect Armageddon
24010,simulation,Train Simulator,simulation Train Simulator
24200,"action, adventure, free to play, massively multiplayer, rpg",Dc Universe™ Online,"action, adventure, free to play, massively multiplayer, rpg DC Universe™ Online"
24240,action,Payday™ The Heist,action PAYDAY™ The Heist
24720,"action, simulation",Spore™ Galactic Adventures,"action, simulation SPORE™ Galactic Adventures"
24740,racing,Burnout Paradise: The Ultimate Box,racing Burnout Paradise: The Ultimate Box
24780,"simulation, strategy",Simcity™ 4 Deluxe Edition,"simulation, strategy SimCity™ 4 Deluxe Edition"
24790,strategy,Command &Amp; Conquer 3: Tiberium Wars,strategy Command &amp; Conquer 3: Tiberium Wars
24810,strategy,Command &Amp; Conquer 3: Kane'S Wrath,strategy Command &amp; Conquer 3: Kane's Wrath
24840,action,Medal Of Honor: Airborne,action Medal of Honor: Airborne
24870,racing,Need For Speed: Shift,racing Need for Speed: Shift
24960,action,Battlefield: Bad Company™ 2,action Battlefield: Bad Company™ 2
24980,rpg,Mass Effect 2,rpg Mass Effect 2
25000,"action, indie",Overgrowth,"action, indie Overgrowth"
25010,action,Lugaru Hd,action Lugaru HD
25500,"indie, simulation, sports",Cricket Revolution,"indie, simulation, sports Cricket Revolution"
25800,strategy,Europa Universalis Iii Complete,strategy Europa Universalis III Complete
25830,strategy,Knights Of Honor,strategy Knights of Honor
25890,strategy,Hearts Of Iron Iii,strategy Hearts of Iron III
25900,"rpg, strategy",King'S Bounty: The Legend,"rpg, strategy King's Bounty: The Legend"
25910,strategy,Supreme Ruler 2020 Gold,strategy Supreme Ruler 2020 Gold
25980,"simulation, strategy",Majesty 2,"simulation, strategy Majesty 2"
26500,"indie, casual",Cogs,"indie, casual Cogs"
26800,"casual, indie, strategy",Braid,"casual, indie, strategy Braid"
26900,"casual, indie",Crayon Physics Deluxe,"casual, indie Crayon Physics Deluxe"
27940,"action, indie",Dead Horde,"action, indie Dead Horde"
28000,action,Kane &Amp; Lynch 2: Dog Days,action Kane &amp; Lynch 2: Dog Days
29180,"indie, casual",Osmos,"indie, casual Osmos"
29800,"action, adventure, casual, indie, rpg, strategy",Caster,"action, adventure, casual, indie, rpg, strategy Caster"
31280,"casual, sports",Poker Night At The Inventory,"casual, sports Poker Night at the Inventory"
31290,adventure,Back To The Future: The Game,adventure Back to the Future: The Game
31930,adventure,Nancy Drew®: The White Wolf Of Icicle Creek,adventure Nancy Drew®: The White Wolf of Icicle Creek
32200,"action, indie, racing, sports",Metal Drift,"action, indie, racing, sports Metal Drift"
32330,"action, adventure",Lego® Indiana Jones™: The Original Adventures,"action, adventure LEGO® Indiana Jones™: The Original Adventures"
32340,adventure,Loom™,adventure LOOM™
32360,adventure,The Secret Of Monkey Island: Special Edition,adventure The Secret of Monkey Island: Special Edition
32370,"adventure, rpg",Star Wars™ - Knights Of The Old Republic™,"adventure, rpg STAR WARS™ - Knights of the Old Republic™"
32380,action,Star Wars™ Jedi Knight: Dark Forces Ii,action STAR WARS™ Jedi Knight: Dark Forces II
32390,action,Star Wars™ Jedi Knight - Mysteries Of The Sith™,action STAR WARS™ Jedi Knight - Mysteries of the Sith™
32400,action,Star Wars™ - Dark Forces,action STAR WARS™ - Dark Forces
32430,action,Star Wars™ - The Force Unleashed™ Ultimate Sith Edition,action STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition
32440,adventure,Lego® Star Wars™ - The Complete Saga,adventure LEGO® Star Wars™ - The Complete Saga
32470,strategy,Star Wars™ Empire At War - Gold Pack,strategy STAR WARS™ Empire at War - Gold Pack
32500,action,Star Wars™: The Force Unleashed™ Ii,action STAR WARS™: The Force Unleashed™ II
32630,action,Delta Force 2,action Delta Force 2
32770,action,Joint Operations: Combined Arms Gold,action Joint Operations: Combined Arms Gold
32800,"action, rpg",Lord Of The Rings: War In The North,"action, rpg Lord of the Rings: War in the North"
33230,"action, adventure",Assassin'S Creed 2 Deluxe Edition,"action, adventure Assassin's Creed 2 Deluxe Edition"
33460,"adventure, simulation",From Dust,"adventure, simulation From Dust"
33670,"strategy, rpg",Disciples Iii - Renaissance Steam Special Edition,"strategy, rpg Disciples III - Renaissance Steam Special Edition"
33680,indie,Eversion,indie eversion
33730,simulation,18 Wheels Of Steel: Extreme Trucker,simulation 18 Wheels of Steel: Extreme Trucker
33900,"action, simulation, strategy",Arma 2,"action, simulation, strategy Arma 2"
33930,"action, simulation, strategy",Arma 2: Operation Arrowhead,"action, simulation, strategy Arma 2: Operation Arrowhead"
34010,"action, rpg",Alpha Protocol™,"action, rpg Alpha Protocol™"
34030,strategy,Napoleon: Total War™,strategy Napoleon: Total War™
34830,action,Sniper: Ghost Warrior,action Sniper: Ghost Warrior
34870,action,Sniper: Ghost Warrior 2,action Sniper: Ghost Warrior 2
34900,indie,Bad Rats: The Rats' Revenge,indie Bad Rats: the Rats' Revenge
35140,"action, adventure",Batman: Arkham Asylum Game Of The Year Edition,"action, adventure Batman: Arkham Asylum Game of the Year Edition"
35420,action,Defence Alliance 2,action Defence Alliance 2
35450,"action, massively multiplayer, simulation",Red Orchestra 2: Heroes Of Stalingrad With Rising Storm,"action, massively multiplayer, simulation Red Orchestra 2: Heroes of Stalingrad with Rising Storm"
35480,"strategy, indie, casual",Dwarfs!?,"strategy, indie, casual Dwarfs!?"
35700,"action, adventure, indie",Trine Enchanted Edition,"action, adventure, indie Trine Enchanted Edition"
35720,"action, adventure, indie",Trine 2: Complete Story,"action, adventure, indie Trine 2: Complete Story"
36000,"action, indie",Foreign Legion: Buckets Of Blood,"action, indie Foreign Legion: Buckets of Blood"
36150,casual,Westward Collection,casual Westward Collection
37600,"adventure, casual, indie",Windosill,"adventure, casual, indie Windosill"
38210,casual,Roogoo,casual Roogoo
38400,rpg,Fallout: A Post Nuclear Role Playing Game,rpg Fallout: A Post Nuclear Role Playing Game
38410,rpg,Fallout 2: A Post Nuclear Role Playing Game,rpg Fallout 2: A Post Nuclear Role Playing Game
38420,strategy,Fallout Tactics: Brotherhood Of Steel,strategy Fallout Tactics: Brotherhood of Steel
38460,action,Mdk 2,action MDK 2
38600,"casual, indie",Faerie Solitaire,"casual, indie Faerie Solitaire"
38700,"casual, indie",Toki Tori,"casual, indie Toki Tori"
38720,"casual, indie, strategy",Rush,"casual, indie, strategy RUSH"
38740,"action, indie",Edge,"action, indie EDGE"
39120,"free to play, massively multiplayer, rpg",Rift,"free to play, massively multiplayer, rpg RIFT"
39140,rpg,Final Fantasy Vii,rpg FINAL FANTASY VII
39150,rpg,Final Fantasy Viii,rpg FINAL FANTASY VIII
39160,"action, rpg",Dungeon Siege Iii,"action, rpg Dungeon Siege III"
39190,rpg,Dungeon Siege,rpg Dungeon Siege
39200,rpg,Dungeon Siege Ii,rpg Dungeon Siege II
39210,"massively multiplayer, rpg",Final Fantasy Xiv Online,"massively multiplayer, rpg FINAL FANTASY XIV Online"
39500,"action, rpg",Gothic® 3,"action, rpg Gothic® 3"
39670,action,Chaser,action Chaser
39680,"simulation, strategy",The Guild Ii Renaissance,"simulation, strategy The Guild II Renaissance"
39800,"action, indie",Nation Red,"action, indie Nation Red"
40100,strategy,Supreme Commander 2,strategy Supreme Commander 2
40390,rpg,Risen 2: Dark Waters,rpg Risen 2: Dark Waters
40400,"indie, strategy",Ai War: Fleet Command,"indie, strategy AI War: Fleet Command"
40700,"adventure, indie",Machinarium,"adventure, indie Machinarium"
40800,indie,Super Meat Boy,indie Super Meat Boy
40930,"adventure, indie",The Misadventures Of P.B. Winterbottom,"adventure, indie The Misadventures of P.B. Winterbottom"
40950,"simulation, strategy",Stronghold Hd,"simulation, strategy Stronghold HD"
40970,"simulation, strategy",Stronghold Crusader Hd,"simulation, strategy Stronghold Crusader HD"
41000,"action, indie",Serious Sam Hd: The First Encounter,"action, indie Serious Sam HD: The First Encounter"
41050,"action, indie",Serious Sam Classic: The First Encounter,"action, indie Serious Sam Classic: The First Encounter"
41100,"action, indie",Hammerfight,"action, indie Hammerfight"
41300,"action, free to play, indie",Altitude,"action, free to play, indie Altitude"
41500,rpg,Torchlight,rpg Torchlight
41700,"action, rpg",S.T.A.L.K.E.R.: Call Of Pripyat,"action, rpg S.T.A.L.K.E.R.: Call of Pripyat"
41740,"action, adventure, simulation",Cargo! The Quest For Gravity,"action, adventure, simulation Cargo! The Quest for Gravity"
41800,"indie, simulation, strategy",Gratuitous Space Battles,"indie, simulation, strategy Gratuitous Space Battles"
42700,action,Call Of Duty®: Black Ops,action Call of Duty®: Black Ops
42719,action,Call Of Duty®: Black Ops - Rezurrection Content Pack,action Call of Duty®: Black Ops - Rezurrection Content Pack
42890,strategy,Sword Of The Stars: Complete Collection,strategy Sword of the Stars: Complete Collection
42910,"action, rpg",Magicka,"action, rpg Magicka"
42960,strategy,Victoria Ii,strategy Victoria II
43000,action,Front Mission Evolved,action Front Mission Evolved
44350,"racing, sports",Grid 2,"racing, sports GRID 2"
45000,"indie, strategy",Sol Survivor,"indie, strategy Sol Survivor"
45100,"casual, indie",Secret Of The Magic Crystals,"casual, indie Secret of the Magic Crystals"
45300,simulation,Wings Of Prey,simulation Wings of Prey
45400,indie,Fortix,indie Fortix
45700,"action, adventure",Devil May Cry 4,"action, adventure Devil May Cry 4"
45710,"action, adventure",Dark Void™,"action, adventure Dark Void™"
45740,"action, adventure",Dead Rising® 2,"action, adventure Dead Rising® 2"
45760,action,Ultra Street Fighter® Iv,action Ultra Street Fighter® IV
45770,"action, adventure",Dead Rising 2: Off The Record,"action, adventure Dead Rising 2: Off the Record"
45797,action,Super Street Fighter Iv: Arcade Edition - Arcade Challengers Pack,action Super Street Fighter IV: Arcade Edition - Arcade Challengers Pack
46280,"rpg, strategy",Star Wolves 2,"rpg, strategy Star Wolves 2"
46540,"action, strategy",Trapped Dead,"action, strategy Trapped Dead"
46770,"indie, simulation, strategy",Making History Ii: The War Of The World,"indie, simulation, strategy Making History II: The War of the World"
47400,"simulation, strategy",Stronghold 3 Gold,"simulation, strategy Stronghold 3 Gold"
47410,"free to play, massively multiplayer, strategy",Stronghold Kingdoms,"free to play, massively multiplayer, strategy Stronghold Kingdoms"
47780,action,Dead Space™ 2,action Dead Space™ 2
47790,action,Medal Of Honor™,action Medal of Honor™
47800,strategy,Risk™: Factions,strategy RISK™: Factions
47810,rpg,Dragon Age: Origins - Ultimate Edition,rpg Dragon Age: Origins - Ultimate Edition
47870,racing,Need For Speed: Hot Pursuit,racing Need For Speed: Hot Pursuit
47890,simulation,The Sims™ 3,simulation The Sims™ 3
47920,racing,Shift 2 Unleashed,racing Shift 2 Unleashed
48000,"adventure, indie",Limbo,"adventure, indie LIMBO"
48110,simulation,Silent Hunter 5®: Battle Of The Atlantic,simulation Silent Hunter 5®: Battle of the Atlantic
48190,"action, adventure",Assassin’S Creed® Brotherhood,"action, adventure Assassin’s Creed® Brotherhood"
