developer,price,year
Relic Entertainment,12.99,2006
The Creative Assembly,9.99,2004
The Creative Assembly,4.99,2006
Big Fish Games,6.99,2007
Rockstar North,9.99,2004
Rockstar San Diego,9.99,2003
Remedy Entertainment,9.99,2003
Crystal Dynamics,6.99,2006
Remedy Entertainment,9.99,2001
Ea Los Angeles,19.99,2008
Infinite Interactive,9.99,2007
Momentum Digital Media Technologies,9.99,2007
"Gamebryo,Virtual Playground",9.99,2007
Scs Software,9.99,2007
Scs Software,9.99,2007
Pivotal Games,5.99,2008
Bohemia Interactive,7.99,2007
Spellbound,9.99,2006
Haggard Games,4.99,2007
Eugen Systems,2.99,2006
"Frontier,Aspyr (Mac)",19.99,2006
Eugen Systems,2.99,2005
"Epic Games, Inc.",14.99,2003
"Epic Games, Inc.",9.99,1998
Sanzaru Games,4.99,2008
Ubisoft,9.99,2003
Crytek Studios,9.99,2004
"Epic Games, Inc.",9.99,2000
Ubisoft Montreal,9.99,2006
Ubisoft,9.99,2005
Last Day Of Work,9.99,2008
Spintop Games,4.99,2008
Mumbojumbo,9.99,2008
Mumbojumbo,9.99,2008
Mumbojumbo,9.99,2008
Mumbojumbo,9.99,2008
Mumbojumbo,9.99,2005
Mumbojumbo,9.99,2007
Ubisoft,9.99,2007
Mumbojumbo,9.99,2005
"Ubisoft Bulgaria,Ubisoft Montpellier",9.99,2007
Ubisoft Romania,9.99,2007
1C: Maddox Games,9.99,2006
Ubisoft Romania,9.99,2008
Telltale Games,9.99,2005
"Merscom,Babylon",9.99,2005
Telltale Games,9.99,2006
Bigant Studios,9.99,2008
Zemnott,9.99,2008
Gabriel Entertainment,9.99,2007
Zemnott,9.99,2008
Zemnott,9.99,2007
Frogwares,9.99,2008
Frogwares,9.99,2008
"Luc Bernard,Silverspherestudios",4.99,2008
Lesta Studio,7.99,2007
Dialogue Design,4.99,2008
Bugbear Entertainment,19.99,2008
Oddworld Inhabitants,2.99,1998
Oddworld Inhabitants,2.99,1997
Simbin,7.99,2008
"Microprose Software, Inc",4.99,2001
"Microprose Software, Inc",4.99,1997
"Microprose Software, Inc",4.99,1993
Gsc Game World,9.99,2008
Crytek,19.99,2008
Crytek,19.99,2007
"Microprose Software, Inc",4.99,1998
Cd Projekt Red,9.99,2008
Introversion Software,9.99,2008
Simbin,2.99,2008
"Tilted Mill Entertainment, Inc.",2.49,2008
Firaxis Games,19.99,2008
"Red Storm Entertainment,Ubisoft Montreal",9.99,2003
Traveller'S Tales,19.99,2008
Monte Cristo,9.99,2008
"Tilted Mill Entertainment, Inc.",9.99,2008
Gearbox Software,9.99,2008
Dark Castle Software,4.99,2008
Techland,4.99,2006
Nival,9.99,2006
Gearbox Software,9.99,2005
Nival,9.99,2007
Blue Byte,19.99,2008
Ubisoft,9.99,2007
Red Storm Entertainment,9.99,2002
"Popcap Games, Inc.",4.99,2008
2D Boy,9.99,2008
Egosoft,15.99,2008
Sandstorm Productions,0.0,2008
Shorebound Studios,4.99,2008
Perpetual Fx Creative,19.99,2008
Rockstar New England,14.99,2008
Ubisoft Montreal,9.99,2008
Meridian4,4.99,2008
Railsimulator.Com,4.99,2009
Railsimulator.Com,4.99,2009
Railsimulator.Com,4.99,2009
Reppo,4.99,2009
Railsimulator.Com,4.99,2009
Dovetail Games,4.99,2009
Dovetail Games,4.99,2009
Volition,9.99,2009
Ea Redwood Shores,19.99,2008
Liquid Entertainment,9.99,2008
Dice,19.99,2009
Hidden Path Entertainment,9.99,2008
Monolith,14.99,2009
Oxeye Game Studio,7.99,2008
Inventive Dingo,9.99,2007
Meridian4,4.99,2009
Black Sea Studios Ltd,9.99,2005
Realmforge Studios,5.99,2009
"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",2.99,2009
Deadline Games,4.99,2009
Frictional Games,9.99,2007
"Epic Games, Inc.",19.99,2007
Radon Labs,9.99,2009
Tale Of Tales,4.99,2008
Criterion Games,19.99,2009
Twisted Pixel Games,9.99,2009
Twisted Pixel Games,1.25,2009
Twisted Pixel Games,1.25,2009
Ionfx,4.99,2009
Llamasoft Ltd,9.99,2009
"Innoglow,Stormregion,Thq Nordic",14.99,2009
Spintop Games,4.99,2009
Arenanet®,19.99,2006
Arenanet®,19.99,2005
Arenanet®,19.99,2006
Arenanet®,29.99,2008
Infinite Interactive,14.99,2009
Mumbojumbo,9.99,2009
Reality Pump Studios,9.99,2009
Spellbound,9.99,2009
Gaijin Entertainment,9.99,2009
Ace Team,9.99,2009
Twisted Pixel Games,1.25,2009
1C Company,6.99,2008
Last Day Of Work,9.99,2009
Sky Fallen,2.99,2009
Irrational Games,4.99,2005
Irrational Games,4.99,2002
Saintxi,14.99,2009
Darklight Games,0.0,2009
Radical Entertainment,19.99,2009
Erik Svedäng,4.99,2009
Ascaron Entertainment Ltd.,4.99,2004
Headfirst Productions,4.99,2006
Bethesda Game Studios,14.99,2007
Bethesda Game Studios,14.99,2002
Bethesda Game Studios®,19.99,2009
Deck 13,4.99,2007
Novalogic,9.99,1999
Novalogic,9.99,1998
Mascot Entertainment,4.99,2008
Techland,9.99,2009
Her Interactive,6.99,2007
Her Interactive,6.99,2006
Her Interactive,6.99,2008
Her Interactive,6.99,2007
Digital Eel,0.0,2008
Telltale Games,19.99,2009
Capcom,19.99,2009
Frontier,9.99,2007
Lucasarts,5.99,1992
Planet Moon Studios,5.99,2003
Pandemic Studios,9.99,2005
Lucasarts,5.99,1989
Traveller'S Tales,19.99,2008
Lucasarts,9.99,2009
Gfi Russia,12.99,2008
Targem Games,9.99,2009
Her Interactive,6.99,2009
Wanako Games,9.99,2006
Sierra,19.99,2006
Saber Interactive,19.99,2007
Sierra,19.99,2006
Tripwire Interactive,7.99,2009
Artech Studios,9.99,2008
"Poptop Software,Breakaway Games,Frog City Software",6.99,2009
Spintop Games,4.99,2009
Capcom,9.99,2008
Capcom,9.99,2009
Deadline Games,4.99,2009
Sakari Indie,4.99,2009
"Bioware,Aspyr (Mac)",9.99,2003
Hemisphere Games,9.99,2009
Black Isle Studios,9.99,1998
14° East,9.99,2001
Xatrix Entertainment,9.99,1999
Shiny Entertainment,9.99,2000
Telltale Games,19.99,2009
Iwin,19.99,2009
Iwin,9.99,2009
Size Five Games,4.99,2009
Ubisoft Montreal,9.99,2005
Unicorn Games Studio,4.99,2009
Blue Fang,14.99,2009
Io Interactive,9.99,2009
"Freeze Tag Inc.,Iq212",19.99,2009
"Freeze Tag Inc.,Joju Games,Linksolutions Ltd.,Dekovir Entertainment",19.99,1999
"Vectorpark, Inc.",2.99,2009
All Aboard,24.99,2009
Mumbojumbo,9.99,2009
Telltale Games,19.99,2009
Novalogic,19.99,2009
Dovetail Games,17.99,2009
Playfirst,9.99,2009
Dovetail Games,19.99,2009
Piranha Bytes,9.99,2009
Honeyslug,3.99,2009
"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",9.99,2009
Amanita Design,9.99,2009
Ea Los Angeles,9.99,2007
Slightly Mad Studios,19.99,2009
Runic Games,14.99,2009
Ea Los Angeles,19.99,2009
Firefly Studios,19.99,2009
Nitro Games,4.99,2009
Homegrown Games,9.99,2009
"Phenomic,Thq Nordic",14.99,2009
Animation Arts,9.99,2009
Stormregion,4.99,2009
Telltale Games,19.99,2009
1C Company,4.99,2009
Konstantin Koshutin,4.99,2009
Phenomic,9.99,2009
Wargaming.Net,9.99,2005
Wargaming.Net,9.99,2003
Her Interactive,6.99,2009
Croteam,14.99,2009
Animation Arts,9.99,2009
Bioware,19.99,2009
Citeremis Inc.,4.99,2009
Yullaby,1.99,2009
Crystal Empire Games,9.99,2009
"Infinity Ward,Aspyr (Mac)",19.99,2009
"Traveller'S Tales,Feral Interactive (Mac)",19.99,2009
"Triumph Studios,Virtual Programming",4.99,2007
"Triumph Studios,Virtual Programming",9.99,2008
Ea Los Angeles,14.99,2007
Kranx Productions,4.99,2008
Ea Los Angeles,19.99,2009
Positech Games,14.99,2009
Gaijin Entertainment,9.99,2009
Inxile Entertainment,9.99,2005
Defence Alliance Team,0.0,2009
"Lucasarts,Aspyr Studios",19.99,2009
Paradox Interactive,9.99,2009
Bethesda Game Studios,19.99,2009
Positech Games,5.99,2009
Hip Soft,9.99,2007
Hip Soft,9.99,2008
Hip Soft,9.99,2009
Iwin,9.99,2009
Spidermonk Entertainment,1.99,2009
Capcom,19.99,2008
Clockstone Studios,9.99,2010
Hip Soft,9.99,2009
Octoshark Studios,0.0,2010
Alawar,4.99,2008
Alawar,9.99,2010
Alawar,9.99,2009
Alawar,4.99,2007
Alawar,4.99,2009
Sandlot Games,6.99,2010
Sandlot Games,6.99,2010
Cateia Games,6.99,2010
Chaos Concept,9.99,2010
Traveller'S Tales,19.99,2010
New Star Games Ltd,4.99,2010
Paradox Interactive,0.99,2010
The Farm 51,6.99,2010
Awem Studio,9.99,2007
Rebellion,7.49,2010
Croteam,9.99,2001
All Aboard,19.99,2010
Taleworlds Entertainment,19.99,2010
Zooptek,4.99,2010
Beatnik Games,4.99,2010
Fatshark,9.99,2010
Rockstar North / Toronto,19.99,2010
Other Ocean Interactive,4.99,2010
Nemesys Games,0.99,2010
Cold Beam Games,9.99,2010
Telltale Games,19.99,2010
Realmforge Studios,9.99,2010
Gaijin Entertainment,4.99,2010
The Odd Gentlemen,4.99,2010
Thq Nordic,4.99,2003
Thq Nordic,4.99,2001
Red Chain Games Ltd.,1.99,2010
Big Fish Games,9.99,2006
Big Fish Games,9.99,2008
"The Creative Assembly,Feral Interactive (Mac)",2.99,2010
Sarbakan,6.99,2008
Playfirst,6.99,2009
Absolutist Ltd.,6.99,2009
Playfirst,6.99,2007
Playfirst,6.99,2009
Playfirst,6.99,2010
Playfirst,6.99,2008
Playfirst,6.99,2007
Playfirst,6.99,2009
G5 Entertainment,9.99,2010
Climax Studios,14.99,2010
Muse Games,4.99,2010
Ideas Pad,4.99,2010
Ubisoft,19.99,2010
Kokakiki,4.99,2010
Sega,2.99,2010
Sega,2.99,2010
D3T Limited,61.99,2010
Sega,2.99,2010
Sega,2.99,2010
Sega,2.99,2010
Sega,2.99,2010
Sega,2.99,2010
Sega,2.99,2010
Sega,4.99,2010
Sega,2.99,2010
Sega,2.99,2010
Obsidian Entertainment,14.99,2010
Team17 Software Ltd.,9.99,2010
Bethesda Game Studios,4.99,2010
Hidden Path Entertainment,0.99,2010
Bethesda Game Studios,4.99,2010
Bethesda Game Studios,4.99,2010
Bethesda Game Studios,4.99,2010
Valve,0.0,2010
Bethesda Game Studios,4.99,2010
"Ea - Maxis,Aspyr (Mac)",19.99,2003
"Akella,.Dat",14.99,2010
"Arcen Games, Llc",4.99,2010
Invent4 Entertainment,9.99,2010
Blue Byte,3.99,2010
Dagger Games,9.99,2008
Io Interactive,9.99,2010
Rune Forge,9.99,2010
Paradox Interactive,0.99,2010
N3V Games,19.99,2010
Ino-Co,4.99,2010
"2K Czech,Feral Interactive (Mac)",29.99,2011
Dovetail Games,4.99,2010
Infinite Interactive,9.99,2010
Doublesix,9.99,2010
Playbrains,1.99,2010
Playbrains,1.99,2010
Playbrains,1.99,2010
Playbrains,2.99,2010
Paradox Development Studio,9.99,2010
Vstep,19.99,2010
Team17 Digital Ltd,19.99,2010
Muzzy Lane Software,14.99,2010
Bohemia Interactive,8.99,2010
Paradox Development Studio,19.99,2010
Playbrains,1.99,2010
Io Interactive,5.99,2010
Io Interactive,1.99,2010
N3V Games,19.99,2010
Io Interactive,2.99,2010
Gsc Game World,4.99,2002
Revolution Software Ltd,5.99,2010
Zoë Mode,4.99,2010
"2K Czech,Feral Interactive (Mac)",9.99,2010
City Interactive,1.99,2010
Terry Cavanagh,4.99,2010
Blue Byte,3.99,2010
Frictional Games,19.99,2010
Easygamestation,19.99,2010
Dedication Games,3.99,2010
Sega,2.99,2010
Sega,2.99,2010
Exosyphen Studios,4.99,2010
Exosyphen Studios,4.99,2010
Subsoap,9.99,2010
Gaming Minds Studios,14.99,2010
Sega,2.99,2010
Katauri Interactive,14.99,2010
Dovetail Games,4.99,2010
"Firaxis Games,Aspyr (Mac, Linux)",29.99,2010
Nitro Games,4.99,2010
Croteam,9.99,2002
Blind Mind Studios,9.99,2010
Krome Studios,2.99,2010
Team17 Digital Ltd,9.99,2010
Vigil Games,19.99,2010
Egosoft,4.99,1999
Neocoregames,9.99,2010
Arenanet®,19.99,2007
Egosoft,4.99,2000
Triumph Studios,9.99,2010
I Sioux Game Productions B.V.,7.99,2010
I Sioux Game Productions B.V.,14.99,2010
Triumph Studios,9.99,2010
Triumph Studios,5.99,2010
Electronic Arts,19.99,2010
"Headup Games,Silent Dreams",9.99,2010
"Capcom Co., Ltd.",19.99,2010
Stickmen Studios,4.99,2010
Obsidian Entertainment,9.99,2010
Dmytry Lavrov,6.99,2010
Ivy Games,4.99,2010
Noumenon Games,9.99,2010
"Firaxis Games,Aspyr (Mac, Linux)",4.99,2010
Hothead Games,14.99,2010
Sega,2.99,2010
Sega,2.99,2010
Sega,2.99,2010
Sega,2.99,2010
Sega,4.99,2010
Sega,2.99,2010
Sega,2.99,2010
Sega,2.99,2010
Sega,2.99,2010
Sega,2.99,2010
Sega,2.99,2010
Klei Entertainment,9.99,2010
Teotl Studios,9.99,2010
Aspyr Studios,19.99,2010
Firemint,4.99,2010
Ascaron Entertainment Ltd.,4.99,2010
Gaijin Games,9.99,2010
1C Company,1.99,2010
Nitro Games,4.99,2010
Tomkorp Computer Solutions Inc.,4.99,2010
Paradox Interactive,1.99,2010
Double Helix Games,3.99,2010
Centauri Production,9.99,2010
Centauri Production,6.99,2009
Centauri Production,12.99,2010
Altar Games,4.99,2007
React Games,9.99,2010
Treyarch,39.99,2010
Sonic Boom Games,0.99,2010
Joshyy,4.99,2010
Oddworld Inhabitants,4.99,2010
Sonic Boom Games,1.99,2010
Oddworld Inhabitants,9.99,2010
"Ntreev Soft Co., Ltd.",4.99,2010
Telltale Games,19.99,2010
Rockstar Games,9.99,2002
Rockstar Games,14.99,2005
Crystal Dynamics Inc.,3.49,2011
Crystal Dynamics Inc.,3.49,2011
Crystal Dynamics,3.49,2011
Crystal Dynamics Inc.,3.49,2011
Rockstar Games,9.99,2003
Brightside Games,9.99,2011
Extend Studio,4.99,2011
Bluegiant Interactive,14.99,2011
Visceral Games,19.99,2011
Big Fish Studios,9.99,2011
Cateia Games,4.99,2011
Sega,2.99,2011
Uber Entertainment,4.99,2011
Mumbojumbo,9.99,2011
Sega,2.99,2011
Sega,2.99,2011
Sega,2.99,2011
Sega,2.99,2011
Sega,2.99,2011
Sega,4.99,2011
Sega,2.99,2011
Sega,4.99,2011
Sega,2.99,2011
Sega,4.99,2011
Sega,2.99,2011
Sega,2.99,2011
The Sims Studio,19.99,2009
Vstep,3.99,2011
The Sims Studio,19.99,2010
The Sims Studio,19.99,2009
The Sims Studio,19.99,2010
The Sims Studio,19.99,2010
The Sims Studio,19.99,2010
Trinoteam,4.99,2011
Virtual Prophecy Entertainment,14.99,2011
The Sims Studio,19.99,2011
Mediatonic,5.99,2011
Cyan Worlds,5.99,2011
Petroglyph,2.99,2011
Reality Pump Studios,19.99,2011
Eden Studios,19.99,2011
Neocoregames,3.99,2011
Positech Games,6.99,2011
Neocoregames,3.99,2011
Realmforge Studios,9.99,2011
"Arcen Games, Llc",4.99,2011
Dtp,19.99,2011
Stainless Games,9.99,2011
Fakt Software,4.99,2011
Gaijin Games,9.99,2011
"Kaos Studios,Digital Extremes",19.99,2011
Red Redemption,9.99,2011
Copenhagen Game Collective,2.99,2011
"Relic Entertainment,Feral Interactive (Mac/Linux)",0.99,2011
"Relic Entertainment,Feral Interactive (Mac/Linux)",0.99,2011
"Relic Entertainment,Feral Interactive (Mac/Linux)",2.99,2011
"Relic Entertainment,Feral Interactive (Mac/Linux)",0.99,2011
"Relic Entertainment,Feral Interactive (Mac/Linux)",0.99,2011
Trion Worlds,0.0,2013
"Relic Entertainment,Feral Interactive (Mac/Linux)",29.99,2011
Stout Games,3.99,2011
"Relic Entertainment,Feral Interactive (Mac/Linux)",2.99,2011
Black Lion Studios,9.99,2011
Colossal Order Ltd.,3.99,2011
Vstep,3.99,2011
"Relic Entertainment,Feral Interactive (Mac/Linux)",6.99,2011
Simbin,3.99,2011
11 Bit Studios,9.99,2011
Ntronium Games,14.99,2010
Martin Ivanov,9.99,2011
Realmforge Studios,3.99,2011
800 North And Digital Ranch,9.99,2011
Gaming Minds Studios,9.99,2011
Valve,19.99,2011
Arrowhead Game Studios,4.99,2011
Coffee Stain Studios,9.99,2011
1C:Inoco,19.99,2011
"Relic Entertainment,Feral Interactive (Mac/Linux)",2.99,2011
"Relic Entertainment,Feral Interactive (Mac/Linux)",9.99,2011
"Relic Entertainment,Feral Interactive (Mac/Linux)",2.99,2011
Mode 7,24.99,2011
"Relic Entertainment,Feral Interactive (Mac/Linux)",2.99,2011
Inner Seas,4.99,2011
Inxile Entertainment,4.99,2011
Fatshark,9.99,2011
The Sims Studio,19.99,2011
Colossal Order Ltd.,5.99,2011
Arrowhead Game Studios,0.99,2011
Behaviour,1.99,2011
Microids,7.99,2009
Microids,7.99,2005
Treyarch,14.99,2011
Obsidian Entertainment,14.99,2011
Gearbox Software,19.99,2011
Red Duck Inc.,0.0,2011
Cryptic Studios,0.0,2009
Grey Havens,0.0,2011
"Apus Software,Three Donkeys Llc",9.99,2011
Colossal Order Ltd.,3.99,2011
Reality Pump Studios,9.99,2011
Peter Brinson And Kurosh Valanejad,0.0,2011
Stainless Games Ltd,19.99,2011
Bacon Wrapped Games,9.99,2011
Cold Beam Games,4.99,2011
Mode 7,5.99,2011
Murudai,9.99,2011
Totem Games,9.99,2011
Totem Games,9.99,2011
Arrowhead Game Studios,2.99,2011
Totem Games,9.99,2011
Day 1 Studios,19.99,2011
Arrowhead Game Studios,1.99,2011
Arrowhead Game Studios,1.99,2011
N3V Games,19.99,2011
Arrowhead Game Studios,1.99,2011
Paradox Interactive,1.99,2011
Bedlam Games,14.99,2011
Simbin,3.99,2011
Giants Software,6.99,2011
Paradox Interactive,1.99,2011
Paradox Development Studio,4.99,2011
Team17 Digital Ltd,4.99,2011
Team17 Digital Ltd,4.99,2011
Team17 Digital Ltd,4.99,2011
Realmforge Studios,2.99,2011
Team17 Digital Ltd,4.99,2011
Telltale Games,9.99,2011
Tripwire Interactive,7.99,2011
Ageod,3.99,2011
Secret Base,0.99,2011
Obsidian Entertainment,4.99,2011
"Relic Entertainment,Feral Interactive (Mac/Linux)",6.99,2011
Yeaboing,4.99,2011
Dovetail Games,8.99,2011
"Kaos Studios,Digital Extremes",0.99,2011
Mystic Box,9.99,2011
Digitalmindsoft,1.99,2011
"Dejobaan Games, Llc",1.99,2011
Lunar Giant,0.99,2011
Extend Studio,0.99,2011
Colossal Order Ltd.,2.99,2011
Her Interactive,6.99,2010
Bohemia Interactive,4.99,2011
Zachtronics,1.99,2011
Haemimont Games,14.99,2011
Her Interactive,6.99,2011
Her Interactive,6.99,2010
Total Eclipse,6.99,2011
Ageod,3.99,2011
Two Tribes,6.99,2011
"Firaxis Games,Aspyr (Mac, Linux)",4.99,2011
"Firaxis Games,Aspyr (Mac, Linux)",4.99,2011
Coffee Stain Studios,9.99,2011
Exosyphen Studios,4.99,2011
Minmax Games Ltd.,9.99,2011
Timegate Studios,3.99,2011
Timegate Studios,2.99,2011
Timegate Studios,3.99,2011
"Relic Entertainment,Feral Interactive (Mac/Linux)",6.99,2011
Obsidian Entertainment,4.99,2011
Three Rings,0.0,2011
Hothead Games,14.99,2011
Relic,29.99,2011
1C Company,7.99,2011
Flying Wild Hog,14.99,2012
Ageod,3.99,2011
"Octane Games,Meridian4",9.99,2011
Ace Team,9.99,2011
Tripwire Interactive,19.99,2011
Colossal Order Ltd.,5.99,2011
Stainless Games Ltd,4.99,2011
Paradox Development Studio,9.99,2011
Pompom,4.99,2011
Her Interactive,6.99,2010
Reality Pump Studios,9.99,2011
Ngd Studios,4.99,2011
Gearbox Software,9.99,2011
Blackhole,19.99,2011
Gas Powered Games,14.99,2011
Edmund Mcmillen And Florian Himsl,4.99,2011
Giants Software,6.99,2011
1C-Avalon,4.99,2011
Gas Powered Games,14.99,2007
Red Redemption,18.99,2011
Steel Monkeys,1.99,2011
Red Redemption,2.99,2011
Red Redemption,4.99,2011
City Interactive,1.99,2011
"Games Farm,3Division",5.99,2011
Red Redemption,3.99,2011
Capcom Vancouver,19.99,2011
Hothead Games,1.99,2011
"Akella,.Dat",14.99,2011
Days Of Wonder,0.0,2011
Dovetail Games,8.99,2011
Double Fine Productions,9.99,2011
The Sims Studio,19.99,2011
Positech Games,5.99,2011
"Vlambeer,Croteam",4.99,2011
Iridium Studios,4.99,2011
Ideas Pad,4.99,2011
B-Alive,9.99,2011
Spellbound Studios,14.99,2011
Ktx Software,8.99,2011
Robot Entertainment,1.99,2011
Obsidian Entertainment,6.99,2011
Daybreak Game Company,0.0,2011
"Haemimont Games,Feral Interactive (Mac)",2.99,2011
Devil'S Details,19.99,2011
Her Interactive,6.99,2011
Robot Entertainment,2.99,2011
"Infinity Ward,Sledgehammer Games,Aspyr (Mac)",39.99,2011
"Team Bondi,Rockstar Leeds",19.99,2011
"Team Bondi,Rockstar Leeds",11.99,2011
Digitalmindsoft,1.99,2011
Final Form Games,4.99,2011
Final Form Games,2.99,2011
Trendy Entertainment,0.99,2011
Trendy Entertainment,1.99,2011
Cipher Prime Studios,6.99,2011
Arrowhead Game Studios,2.99,2011
Digital Reality,9.99,2011
Arrowhead Game Studios,1.99,2011
"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",4.99,2011
"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",1.59,2011
Arrowhead Game Studios,5.99,2011
Paradox Interactive,1.99,2011
Paradox Interactive,1.99,2011
Unicorn Games Studio,3.99,2010
Stardock Entertainment,19.99,2011
"Krossrails,Dovetail Games",12.99,2011
Reloaded Productions,0.0,2011
Wadjet Eye Games,4.99,2012
Digitalmindsoft,1.99,2011
Tripwire Interactive,7.99,2011
Team 6 Studios,9.99,2011
Ubisoft Montreal,3.99,2011
Trendy Entertainment,1.99,2011
"Haemimont Games,Feral Interactive (Mac)",2.99,2011
"Vicious Cycle Software, Inc.",9.99,2011
Stainless Games Ltd,2.99,2011
Relic,0.99,2011
Relic,0.99,2011
"Gaslamp Games, Inc.",2.99,2011
Relic,0.99,2011
Nitro Games,4.99,2011
Relic,0.99,2011
Egosoft,9.99,2011
Frozenbyte,19.99,2013
Trendy Entertainment,3.99,2011
Astro Port,5.99,2011
Lionhead Studios,9.99,2011
Avalanche Studios,2.99,2011
Fakt Software,2.99,2011
Trendy Entertainment,1.99,2011
Volition,2.99,2011
Avalanche Studios,4.99,2011
Relic,2.99,2011
Relic,2.99,2011
Relic,2.99,2011
Relic,2.99,2011
Relic,9.99,2011
"D3Publisher Of America, Inc.",0.99,2011
"D3Publisher Of America, Inc.",0.99,2011
"D3Publisher Of America, Inc.",0.99,2011
"D3Publisher Of America, Inc.",0.99,2011
Unigine Corp.,7.99,2012
Dovetail Games,12.99,2012
Neocoregames,9.99,2012
Neocore Games,4.99,2012
Croteam,9.99,2005
Lizsoft,19.99,2012
Cryptic Studios,0.0,2010
Trendy Entertainment,2.99,2012
Trendy Entertainment,1.99,2012
"Coreplay Gmbh,Bigmoon Studios",19.99,2012
Richmakegame,9.99,2012
Paradox Development Studio,9.99,2012
Q-Games Ltd.,9.99,2012
Q-Games Ltd.,5.99,2012
Owlchemy Labs,4.99,2012
Puppygames,9.99,2012
Inxile Entertainment,0.99,2012
Paradox Development Studio,39.99,2012
Paradox Interactive,1.99,2012
Paradox Interactive,1.99,2012
"Wxp Games, Llc",1.99,2012
Remedy Entertainment,9.99,2012
Thomson Interactive,19.99,2010
Arrowhead Game Studios,1.99,2012
Trashmasters,11.99,2011
Little Green Men Games,13.99,2012
Hitbox Team,3.99,2012
Wild Shadow Studios,0.0,2012
Paradox Interactive,1.99,2012
Volition,6.99,2012
Mumbojumbo,9.99,2012
Brandon Brizzi,4.99,2012
Ubisoft Montreal,9.99,2012
"Ubiart Montpellier,Feral Interactive (Mac)",19.99,2012
Med-Art,9.99,2012
Grey Havens,5.99,2012
Virtualrailroads,12.99,2012
Colossal Order Ltd.,3.99,2012
Strange Loop Games,19.99,2012
Cobra Mobile,4.99,2012
Mumbojumbo,9.99,2012
Remedy Entertainment,9.99,2012
The Sims Studio,19.99,2012
Double Fine Productions,9.99,2012
Bootsnake Games,4.99,2012
Aerosoft Gmbh,19.99,2012
Dovetail Games,8.99,2012
Tribute Games Inc.,2.99,2012
Most Wanted Entertainment,9.99,2012
Trickstar Games,9.99,2012
Nimbly Games,4.99,2012
Trendy Entertainment,1.99,2012
Sega,4.99,2012
Trendy Entertainment,3.99,2012
3 Sprockets,3.99,2012
Cyan Worlds,9.99,2012
Trendy Entertainment,0.99,2012
Strawdog Studios Ltd,4.99,2012
Nihon Falcom,14.99,2012
Bohemia Interactive,8.99,2012
Eden Industries,1.99,2012
Volition,6.99,2012
Pompom Games,4.99,2012
Trapdoor Inc.,9.99,2012
"Big Huge Games,38 Studios",9.99,2012
"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",29.99,2012
Pendulo Studios,9.99,2012
Pixelante Game Studios,4.99,2012
Fakt Software,2.99,2012
Mumbojumbo,9.99,2012
Mumbojumbo,9.99,2012
